Survey ResponseID,n_recs,ild_category,ild_cat1,ild_cat2,ild_pct,avg_score,avg_reasons,hit_rate,privacy_level,exp_group,total_products,category_diversity,is_category_specialist,category_top1,cuartil_hist
R_01vNIayewjIIKMF,4,4,4,4,1.0,0.39144198315167006,2.75,0.25,Privada_moderada,control,146.0,49,False,HEADPHONES,Q1 cold-start
R_037XK72IZBJyF69,15,15,8,4,1.0,0.47201138581429786,2.3333333333333335,0.7333333333333333,Privada_sensible,na,1306.0,361,False,PET_FOOD,Q4 historial rico
R_038ZU6kfQ5f89fH,20,7,5,4,0.35,0.3386588303099737,3.0,0.1,Privada_moderada,control,73.0,35,False,SHOES,Q1 cold-start
R_03aEbghUILs9NxD,2,1,1,1,0.5,0.9967103912676469,3.0,1.0,No_privada,na,175.0,80,False,MEDICATION,Q1 cold-start
R_07oHvj3bLVVRCRb,20,6,5,3,0.3,0.3601795116743389,1.85,0.1,Privada_sensible,na,27.0,16,False,DOWNLOADABLE_VIDEO_GAME,Q1 cold-start
R_085qq7w0pkhowox,1,1,1,1,1.0,1.0,3.0,1.0,Privada_moderada,treated,331.0,104,False,ABIS_BOOK,Q2
R_0Arj0ePpTnReV1v,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,147.0,85,False,HEALTH_PERSONAL_CARE,Q1 cold-start
R_0BCm9hRP9iTI081,20,14,10,8,0.7,0.2922867506593579,2.2,0.05,Privada_sensible,na,1308.0,296,False,MEDICATION,Q4 historial rico
R_0BWkZUjRId7FDZn,7,5,5,2,0.7142857142857143,0.5404733807283579,3.0,0.8571428571428571,Privada_moderada,control,278.0,119,False,NAN,Q2
R_0D6GtQwa6VcnXpv,15,9,8,6,0.6,0.3905328802022644,2.7333333333333334,1.0,Privada_sensible,na,376.0,167,False,ABIS_BOOK,Q2
R_0DoXqOQl0hxEeFH,20,8,5,4,0.4,0.5611176648917264,2.05,0.95,Privada_sensible,na,1264.0,287,False,PET_FOOD,Q4 historial rico
R_0Hzrb8hEmXavTk5,20,13,10,8,0.65,0.3980927313497144,2.35,0.2,Privada_sensible,na,843.0,292,False,PET_FOOD,Q4 historial rico
R_0IBgnbXoP4Uvvhv,20,11,5,3,0.55,0.5448912145213807,3.0,0.1,No_privada,na,619.0,166,False,GROCERY,Q3
R_0IilpPYiU01nCzn,1,1,1,1,1.0,1.0,2.0,1.0,Privada_sensible,na,163.0,101,False,NUTRITIONAL_SUPPLEMENT,Q1 cold-start
R_0InTWTWokrqzy3n,2,2,2,2,1.0,0.9891640380559856,3.0,1.0,Privada_sensible,na,332.0,110,False,PET_FOOD,Q2
R_0MwMIcbYO11SOwV,20,15,9,8,0.75,0.6452767731040725,2.55,0.35,Privada_sensible,na,575.0,215,False,BONDING_ADHESIVES,Q3
R_0UsrHmkw7rRzoeB,20,9,6,5,0.45,0.37472411309406145,1.95,0.15,Privada_sensible,na,387.0,153,False,GIFT_CARD,Q3
R_0c8VclJcriEXQqZ,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,184.0,111,False,NAN,Q1 cold-start
R_0cS0LOVu2KdO1ix,4,4,4,4,1.0,0.44328145554518406,2.75,0.25,Privada_sensible,na,327.0,169,False,NAN,Q2
